Pais;Casos;Muertes;Poblacion;Codigo;Continente;Saneamiento;Alcohol;Sarampion
Afghanistan;49273;1971;38041757;AFG;Asia;50;0.2;0
Albania;48530;1003;2862427;ALB;Europe;99;8.3;0
Algeria;92102;2596;43053054;DZA;Africa;86;1;0
Andorra;7338;79;76177;AND;Europe;100;11;0
Angola;16188;371;31825299;AGO;Africa;52;6.1;1085
Anguilla;10;0;14872;AIA;America;0;0;0
Antigua and Barbuda;148;4;97115;ATG;America;0;7.6;0
Argentina;1498160;40766;44780675;ARG;America;0;10;69
Armenia;148682;2503;2957728;ARM;Europe;94;5.7;0
Australia;28031;908;25203200;AUS;Oceania;100;10.5;25
Austria;320036;4400;8858775;AUT;Europe;100;11.7;25
Azerbaijan;175874;1922;10047719;AZE;Europe;0;0.7;2
Bahamas;7674;163;389486;BHS;America;0;4.4;0
Bahrain;89143;348;1641164;BHR;Asia;100;1.9;0
Bangladesh;490533;7052;163046173;BGD;Asia;54;0;2410
Barbados;292;7;287021;BRB;America;98;9.9;0
Belarus;160295;1263;9452409;BLR;Europe;98;12.4;0
Belgium;608001;17951;11455519;BEL;Europe;99;12.2;0
Belize;9295;195;390351;BLZ;America;88;7;0
Benin;3090;44;11801151;BEN;Africa;17;3.7;18
Bhutan;438;0;763094;BTN;Asia;77;0.5;0
Bolivia;147150;9018;11513102;BOL;America;66;4.9;2
Bosnia and Herzegovina;101117;3336;3300998;BIH;Europe;0;7;0
Botswana;12501;37;2303703;BWA;Africa;80;10;5
Brazil;6901952;181402;211049519;BRA;America;90;7.8;0
Brunei Darussalam;152;3;433296;BRN;Asia;0;0.4;0
Bulgaria;179449;5688;7000039;BGR;Europe;86;13;257
Burkina Faso;4030;71;20321383;BFA;Africa;22;8.2;2480
Burundi;729;1;11530577;BDI;Africa;46;7;1700
Cabo Verde;11357;110;549936;CPV;Africa;79;6;0
Cambodia;359;0;16486542;KHM;Asia;69;7.2;379
Cameroon;25143;443;25876387;CMR;Africa;45;9.5;1509
Canada;460743;13431;37411038;CAN;America;99;9.1;1
Central African Republic;4936;63;4745179;CAF;Africa;14;3.2;3433
Chad;1770;102;15946882;TCD;Africa;12;1.7;2170
Chile;571919;15886;18952035;CHL;America;100;9.2;2
China;91994;4739;1433783692;CHN;Asia;92;7.5;867
Colombia;1425774;39053;50339443;COL;America;94;5.6;1
Comoros;628;7;850891;COM;Africa;0;1;0
Congo;6049;99;5380504;COG;Africa;20;7.8;37
Costa Rica;150947;1895;5047561;CRI;America;98;4.8;0
Cote d'Ivoire;21680;133;25716554;CIV;Africa;35;8.4;600
Croatia;175886;2640;4076246;HRV;Europe;97;8.8;0
Cuba;9423;137;11333484;CUB;America;91;6.1;0
Cyprus;15101;78;875899;CYP;Europe;99;11;0
Czechia;581079;9609;10649800;CZE;Europe;99;14.4;0
Democratic Republic of the Congo;14512;355;86790568;COD;Africa;15;3.2;82290
Denmark;109758;941;5806081;DNK;Europe;100;10.3;4
Djibouti;5728;61;973557;DJI;Africa;67;0.6;0
Dominica;87;0;71808;DMA;America;0;7.5;0
Dominican Republic;154692;2361;10738957;DOM;America;87;7.3;0
Ecuador;202110;13875;17373657;ECU;America;92;4.5;0
Egypt;121575;6920;100388076;EGY;Africa;97;0.4;0
El Salvador;41880;1205;6453550;SLV;America;82;4.1;0
Equatorial Guinea;5185;85;1355982;GNQ;Africa;0;11.8;53
Eritrea;711;0;3497117;ERI;Africa;0;1.9;12
Estonia;18055;149;1324820;EST;Europe;99;11.5;0
Eswatini;6768;127;1148133;SWZ;Africa;64;10;1
Ethiopia;116769;1806;112078727;ETH;Africa;9;3.5;1952
Falkland Islands (Malvinas);19;0;3372;FLK;America;0;0;0
Faroe Islands;528;0;48677;FRO;Europe;0;0;0
Fiji;46;2;889955;FJI;Oceania;99;3;0
Finland;30810;453;5517919;FIN;Europe;99;10.8;4
France;2376852;57911;67012883;FRA;Europe;99;12.3;0
Gabon;9330;63;2172578;GAB;Africa;50;10.7;9
Gambia;3782;123;2347696;GMB;Africa;47;3.9;0
Georgia;191063;1839;3996762;GEO;Europe;86;10.5;20
Germany;1337078;21975;83019213;DEU;Europe;99;12.8;0
Ghana;53014;327;30417858;GHA;Africa;24;2.7;88
Greece;124534;3625;10724599;GRC;Europe;99;10.7;3
Greenland;19;0;56660;GRL;America;0;0;0
Grenada;69;0;112002;GRD;America;0;9.4;0
Guatemala;129282;4423;17581476;GTM;America;68;2.4;0
Guinea;13420;79;12771246;GIN;Africa;30;1.1;506
Guinea-Bissau;2444;44;1920917;GNB;Africa;18;4.8;22
Guyana;5920;155;782775;GUY;America;86;6.3;0
